,"participant.perception","participant.id","participant.code","participant.created_at","updated_at","participant.training_group","experiment_phase","display_order","paradigm.consonant","paradigm.vowel","paradigm.stress","paradigm.human_singular","singular_play_count","paradigm.human_plural","plural_play_count","plural_response","both_responses","participant.year_born","participant.language_background","participant.comments","participant.other_languages","participant.native","participant.gender","pl.exists","consonant","shape","response","devoiced","voiced","group","match","opposite","IPA"
"16","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:48:48","mono","testing",16,"k","u","iamb","zh-tuk",1,"zh-tugni",0,"zh-tukni","false",1967,"Tennessee",,"None","true","Female","TRUE","k","iamb","k","k",0,"mono","TRUE","TRUE","ʒətuk"
"17","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:48:55","mono","testing",17,"k","e","mono","chek",1,"chegni",0,"chekni","false",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","k","k",0,"mono","TRUE","FALSE","ʧek"
"18","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:03","mono","testing",18,"t","e","mono","dret",1,"dredni",0,"dretni","false",1967,"Tennessee",,"None","true","Female","TRUE","t","mono","t","t",0,"mono","TRUE","FALSE","dret"
"19","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:11","mono","testing",19,"k","o","iamb","l-shok",1,"l-shogni",0,"l-shokni","false",1967,"Tennessee",,"None","true","Female","TRUE","k","iamb","k","k",0,"mono","TRUE","TRUE","ləʃok"
"20","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:19","mono","testing",20,"p","x","mono","braip",1,"braibni",0,"braipni","false",1967,"Tennessee",,"None","true","Female","TRUE","p","mono","p","p",0,"mono","TRUE","FALSE","braɪp"
"21","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:27","mono","testing",21,"r","a","iamb","p-klar",1,"p-klarni",0,"p-klarni","false",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","pəklar"
"22","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:35","mono","testing",22,"t","u","mono","prut",1,"prudni",0,"prutni","false",1967,"Tennessee",,"None","true","Female","TRUE","t","mono","t","t",0,"mono","TRUE","FALSE","prut"
"23","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:38","mono","testing",23,"p","e","mono","flep",1,"flebni",0,"flepni","false",1967,"Tennessee",,"None","true","Female","TRUE","p","mono","p","p",0,"mono","TRUE","FALSE","flep"
"24","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:45","mono","testing",24,"r","e","iamb","j-brer",1,"j-brerni",0,"j-brerni","false",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","ʤəbrer"
"25","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:49:57","mono","testing",25,"p","x","iamb","ch-naip",1,"ch-naibni",0,"ch-naipni","false",1967,"Tennessee",,"None","true","Female","TRUE","p","iamb","p","p",0,"mono","TRUE","TRUE","ʧənaɪp"
"26","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:05","mono","testing",26,"m","e","mono","jem",1,"jemni",0,"jembi","false",1967,"Tennessee",,"None","true","Female","TRUE","W","mono",,,0,"mono","FALSE","FALSE","ʤem"
"27","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:09","mono","testing",27,"m","a","mono","klam",1,"klamni",0,"klambi","false",1967,"Tennessee",,"None","true","Female","TRUE","W","mono",,,0,"mono","FALSE","FALSE","klam"
"28","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:18","mono","testing",28,"p","i","iamb","r-lip",1,"r-libni",0,"r-lipni","false",1967,"Tennessee",,"None","true","Female","TRUE","p","iamb","p","p",0,"mono","TRUE","TRUE","rəlip"
"29","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:30","mono","testing",29,"k","u","iamb","b-chuk",1,"b-chugni",0,"b-chukni","false",1967,"Tennessee",,"None","true","Female","TRUE","k","iamb","k","k",0,"mono","TRUE","TRUE","bəʧuk"
"30","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:36","mono","testing",30,"l","x","mono","sail",1,"sailni",0,"sailni","false",1967,"Tennessee",,"None","true","Female","TRUE","W","mono","W","W",0,"mono","TRUE","FALSE","saɪl"
"31","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:50:50","mono","testing",31,"k","u","mono","fuk",2,"fugni",0,"fukni","true",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","k","k",0,"mono","TRUE","FALSE","fuk"
"32","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:51:01","mono","testing",32,"p","a","mono","zap",1,"zabni",0,"zopbi","true",1967,"Tennessee",,"None","true","Female","TRUE","p","mono",,,0,"mono","FALSE","FALSE","zap"
"33","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:51:11","mono","testing",33,"t","u","iamb","kl-put",1,"kl-pudni",0,"k-putni","true",1967,"Tennessee",,"None","true","Female","TRUE","t","iamb","t","t",0,"mono","TRUE","TRUE","kləput"
"34","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:51:20","mono","testing",34,"l","a","mono","fral",1,"fralni",0,"fralni","true",1967,"Tennessee",,"None","true","Female","TRUE","W","mono","W","W",0,"mono","TRUE","FALSE","fral"
"35","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:51:46","mono","testing",35,"t","i","iamb","s-plit",3,"s-plidni",0,"sapletni","true",1967,"Tennessee",,"None","true","Female","TRUE","t","iamb","t","t",0,"mono","TRUE","TRUE","səplit"
"36","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:51:54","mono","testing",36,"t","o","iamb","sh-lot",1,"sh-lodni",0,"shalotni","true",1967,"Tennessee",,"None","true","Female","TRUE","t","iamb","t","t",0,"mono","TRUE","TRUE","ʃəlot"
"37","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:05","mono","testing",37,"p","a","iamb","d-rap",1,"d-rabni",0,"d-ropni","true",1967,"Tennessee",,"None","true","Female","TRUE","p","iamb","p","p",0,"mono","TRUE","TRUE","dərap"
"38","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:16","mono","testing",38,"p","e","iamb","t-gep",2,"t-gebni",0,"d-gapni","true",1967,"Tennessee",,"None","true","Female","TRUE","p","iamb","p","p",0,"mono","TRUE","TRUE","təɡep"
"39","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:23","mono","testing",39,"p","o","mono","bop",1,"bobni",0,"bopni","true",1967,"Tennessee",,"None","true","Female","TRUE","p","mono","p","p",0,"mono","TRUE","FALSE","bop"
"40","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:42","mono","testing",40,"m","i","iamb","s-bim",4,"s-bimni",0,"sebeni","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb",,,0,"mono","FALSE","TRUE","səbim"
"41","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:52","mono","testing",41,"r","e","mono","pler",1,"plerni",0,"plarbi","true",1967,"Tennessee",,"None","true","Female","TRUE","W","mono",,,0,"mono","FALSE","FALSE","pler"
"42","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:52:58","mono","testing",42,"m","a","iamb","k-jam",1,"k-jamni",0,"k-jombi","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb",,,0,"mono","FALSE","TRUE","kəʤam"
"43","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:53:06","mono","testing",43,"t","e","mono","klet",1,"kledni",0,"klatni","true",1967,"Tennessee",,"None","true","Female","TRUE","t","mono","t","t",0,"mono","TRUE","FALSE","klet"
"44","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:53:23","mono","testing",44,"ng","i","iamb","d-pling",2,"d-plingni",0,"d-plinbi","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb",,,0,"mono","FALSE","TRUE","dəpliŋ"
"45","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:53:30","mono","testing",45,"k","a","mono","strak",1,"stragni",0,"strukni","true",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","k","k",0,"mono","TRUE","FALSE","strak"
"46","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:17","iamb","learning",1,"r","e","iamb","tr-sher",2,"tr-sherni",2,,"false",1992,"United States",,"English","true","Male","FALSE","W","iamb",,,0,"iamb","FALSE","FALSE","trəʃer"
"47","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:22","iamb","learning",2,"p","e","iamb","t-gep",1,"t-gebni",1,,"false",1992,"United States",,"English","true","Male","FALSE","p","iamb",,,0,"iamb","FALSE","FALSE","təɡep"
"48","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:27","iamb","learning",3,"t","u","iamb","g-shut",1,"g-shudni",1,,"false",1992,"United States",,"English","true","Male","FALSE","t","iamb",,,0,"iamb","FALSE","FALSE","ɡəʃut"
"49","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:33","iamb","learning",4,"k","x","iamb","s-paik",1,"s-paigni",1,,"false",1992,"United States",,"English","true","Male","FALSE","k","iamb",,,0,"iamb","FALSE","FALSE","səpaɪk"
"50","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:37","iamb","learning",5,"k","u","iamb","b-chuk",1,"b-chugni",1,,"false",1992,"United States",,"English","true","Male","FALSE","k","iamb",,,0,"iamb","FALSE","FALSE","bəʧuk"
"51","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:42","iamb","learning",6,"p","u","iamb","s-rup",1,"s-rubni",1,,"false",1992,"United States",,"English","true","Male","FALSE","p","iamb",,,0,"iamb","FALSE","FALSE","sərup"
"52","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:02:45","iamb","learning",7,"ng","i","mono","kring",1,"kringni",1,,"false",1992,"United States",,"English","true","Male","FALSE","W","mono",,,0,"iamb","FALSE","TRUE","kriŋ"
"53","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:03:15","iamb","learning",8,"k","a","iamb","gl-zak",1,"gl-zagni",2,"gl-zakni","true",1992,"United States",,"English","true","Male","TRUE","k","iamb","k","k",0,"iamb","TRUE","FALSE","ɡləzak"
"54","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:03:36","iamb","learning",9,"ng","i","mono","ting",1,"tingni",2,"tiŋnig","true",1992,"United States",,"English","true","Male","TRUE","W","mono",,,0,"iamb","FALSE","TRUE","tiŋ"
"55","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:03:57","iamb","learning",10,"r","e","iamb","j-brer",1,"j-brerni",2,"j-breni","true",1992,"United States",,"English","true","Male","TRUE","W","iamb",,,0,"iamb","FALSE","FALSE","ʤəbrer"
"56","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:04:18","iamb","learning",11,"t","i","iamb","b-git",1,"b-gidni",2,"b-gitni","true",1992,"United States",,"English","true","Male","TRUE","t","iamb","t","t",0,"iamb","TRUE","FALSE","bəɡit"
"57","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:04:38","iamb","learning",12,"p","a","iamb","d-rap",1,"d-rabni",2,"d-raponi","true",1992,"United States",,"English","true","Male","TRUE","p","iamb",,,0,"iamb","FALSE","FALSE","dərap"
"58","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:04:53","iamb","learning",13,"t","o","iamb","sh-lot",1,"sh-lodni",1,"sh-loni","true",1992,"United States",,"English","true","Male","TRUE","t","iamb",,,0,"iamb","FALSE","FALSE","ʃəlot"
"59","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:05:08","iamb","learning",14,"p","a","iamb","h-sap",1,"h-sabni",1,"h-sabni","true",1992,"United States",,"English","true","Male","TRUE","p","iamb","b","p",1,"iamb","TRUE","FALSE","həsap"
"60","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:05:27","iamb","learning",15,"l","o","mono","krol",1,"krolni",4,"kroni","true",1992,"United States",,"English","true","Male","TRUE","W","mono",,,0,"iamb","FALSE","TRUE","krol"
"61","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:05:40","iamb","testing",16,"l","e","mono","zel",1,"zelni",0,"zelni","false",1992,"United States",,"English","true","Male","TRUE","W","mono","W","W",0,"iamb","TRUE","TRUE","zel"
"62","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:05:49","iamb","testing",17,"p","o","mono","shop",1,"shobni",0,"shopni","false",1992,"United States",,"English","true","Male","TRUE","p","mono","p","p",0,"iamb","TRUE","TRUE","ʃop"
"63","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:05:56","iamb","testing",18,"p","o","mono","bop",1,"bobni",0,"bopni","false",1992,"United States",,"English","true","Male","TRUE","p","mono","p","p",0,"iamb","TRUE","TRUE","bop"
"64","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:04","iamb","testing",19,"m","o","mono","grom",1,"gromni",0,"gromni","false",1992,"United States",,"English","true","Male","TRUE","W","mono","W","W",0,"iamb","TRUE","TRUE","ɡrom"
"65","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:13","iamb","testing",20,"l","o","mono","krol",1,"krolni",0,"krolni","false",1992,"United States",,"English","true","Male","TRUE","W","mono","W","W",0,"iamb","TRUE","TRUE","krol"
"66","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:20","iamb","testing",21,"ng","i","mono","ting",1,"tingni",0,"tiŋni","false",1992,"United States",,"English","true","Male","TRUE","W","mono","W","W",0,"iamb","TRUE","TRUE","tiŋ"
"67","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:28","iamb","testing",22,"p","u","mono","nup",1,"nubni",0,"nupni","false",1992,"United States",,"English","true","Male","TRUE","p","mono","p","p",0,"iamb","TRUE","TRUE","nup"
"68","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:39","iamb","testing",23,"t","x","iamb","f-hait",1,"f-haidni",0,"f-haitni","false",1992,"United States",,"English","true","Male","TRUE","t","iamb","t","t",0,"iamb","TRUE","FALSE","fəhaɪt"
"69","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:48","iamb","testing",24,"l","o","iamb","br-nol",1,"br-nolni",0,"br-nolni","false",1992,"United States",,"English","true","Male","TRUE","W","iamb","W","W",0,"iamb","TRUE","FALSE","brənol"
"70","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:06:56","iamb","testing",25,"t","u","mono","prut",1,"prudni",0,"prutni","false",1992,"United States",,"English","true","Male","TRUE","t","mono","t","t",0,"iamb","TRUE","TRUE","prut"
"71","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:07:03","iamb","testing",26,"p","a","mono","zap",1,"zabni",0,"zapni","false",1992,"United States",,"English","true","Male","TRUE","p","mono","p","p",0,"iamb","TRUE","TRUE","zap"
"72","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:07:09","iamb","testing",27,"k","u","mono","huk",1,"hugni",0,"hukni","false",1992,"United States",,"English","true","Male","TRUE","k","mono","k","k",0,"iamb","TRUE","TRUE","huk"
"73","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:07:19","iamb","testing",28,"k","o","iamb","g-frok",1,"g-frogni",0,"g-frok","false",1992,"United States",,"English","true","Male","TRUE","k","iamb",,,0,"iamb","FALSE","FALSE","ɡəfrok"
"74","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:07:32","iamb","testing",29,"m","u","iamb","k-num",1,"k-numni",0,"k-numni","false",1992,"United States",,"English","true","Male","TRUE","W","iamb","W","W",0,"iamb","TRUE","FALSE","kənum"
"75","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:07:40","iamb","testing",30,"t","o","mono","zhot",1,"zhodni",0,"zhotni","false",1992,"United States",,"English","true","Male","TRUE","t","mono","t","t",0,"iamb","TRUE","TRUE","ʒot"
"76","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:08:02","iamb","testing",31,"t","o","iamb","ch-dot",4,"ch-dodni",0,"judutni","true",1992,"United States",,"English","true","Male","TRUE","t","iamb","t","t",0,"iamb","TRUE","FALSE","ʧədot"
"77","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:08:15","iamb","testing",32,"m","x","iamb","zh-taim",2,"zh-taimni",0,"esh-tim","true",1992,"United States",,"English","true","Male","TRUE","W","iamb",,,0,"iamb","FALSE","FALSE","ʒətaɪm"
"78","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:08:31","iamb","testing",33,"p","i","iamb","r-lip",3,"r-libni",0,"br-rip","true",1992,"United States",,"English","true","Male","TRUE","p","iamb",,,0,"iamb","FALSE","FALSE","rəlip"
"79","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:08:42","iamb","testing",34,"l","x","iamb","g-tail",3,"g-tailni",0,"kutilni","true",1992,"United States",,"English","true","Male","TRUE","W","iamb","W","W",0,"iamb","TRUE","FALSE","ɡətaɪl"
"80","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:08:50","iamb","testing",35,"p","a","iamb","d-rap",1,"d-rabni",0,"durbni","true",1992,"United States",,"English","true","Male","TRUE","p","iamb","b","p",1,"iamb","TRUE","FALSE","dərap"
"81","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:03","iamb","testing",36,"k","o","iamb","l-shok",3,"l-shogni",0,"bushokni","true",1992,"United States",,"English","true","Male","TRUE","k","iamb","k","k",0,"iamb","TRUE","FALSE","ləʃok"
"82","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:11","iamb","testing",37,"k","a","iamb","gl-zak",2,"gl-zagni",0,"hurzni","true",1992,"United States",,"English","true","Male","TRUE","k","iamb",,,0,"iamb","FALSE","FALSE","ɡləzak"
"83","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:25","iamb","testing",38,"p","o","iamb","f-chop",1,"f-chobni",0,"f-chokni","true",1992,"United States",,"English","true","Male","TRUE","p","iamb","k","k",0,"iamb","FALSE","FALSE","fəʧop"
"84","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:33","iamb","testing",39,"r","o","mono","zor",1,"zorni",0,"zorni","true",1992,"United States",,"English","true","Male","TRUE","W","mono","W","W",0,"iamb","TRUE","TRUE","zor"
"85","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:41","iamb","testing",40,"t","u","iamb","g-shut",1,"g-shudni",0,"p-shutni","true",1992,"United States",,"English","true","Male","TRUE","t","iamb","t","t",0,"iamb","TRUE","FALSE","ɡəʃut"
"86","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:50","iamb","testing",41,"r","e","iamb","tr-sher",1,"tr-sherni",0,"tre-sherdni","true",1992,"United States",,"English","true","Male","TRUE","W","iamb","d","t",1,"iamb","FALSE","FALSE","trəʃer"
"87","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:09:58","iamb","testing",42,"t","e","mono","klet",1,"kledni",0,"clatni","true",1992,"United States",,"English","true","Male","TRUE","t","mono","t","t",0,"iamb","TRUE","TRUE","klet"
"88","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:10:07","iamb","testing",43,"p","e","iamb","t-gep",1,"t-gebni",0,"t-gabni","true",1992,"United States",,"English","true","Male","TRUE","p","iamb","b","p",1,"iamb","TRUE","FALSE","təɡep"
"89","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:10:15","iamb","testing",44,"k","x","mono","shaik",1,"shaigni",0,"schitni","true",1992,"United States",,"English","true","Male","TRUE","k","mono","t","t",0,"iamb","FALSE","TRUE","ʃaɪk"
"90","larvd","466","ENQ464","2011-03-25 23:01:09","2011-03-25 23:10:22","iamb","testing",45,"k","a","mono","strak",1,"stragni",0,"stawni","true",1992,"United States",,"English","true","Male","TRUE","k","mono",,,0,"iamb","FALSE","TRUE","strak"
"91","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:33:22","mono","learning",1,"ng","u","iamb","ch-rung",1,"ch-rungni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","W","iamb",,,0,"mono","FALSE","TRUE","ʧəruŋ"
"92","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:33:28","mono","learning",2,"ng","e","iamb","t-seng",1,"t-sengni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","W","iamb",,,0,"mono","FALSE","TRUE","təseŋ"
"93","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:33:40","mono","learning",3,"t","i","mono","vit",1,"vidni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","vit"
"94","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:33:47","mono","learning",4,"t","x","mono","pait",1,"paidni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","paɪt"
"95","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:33:59","mono","learning",5,"p","e","mono","flep",1,"flebni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","p","mono",,,0,"mono","FALSE","FALSE","flep"
"96","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:34:05","mono","learning",6,"t","o","mono","zhot",1,"zhodni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","ʒot"
"97","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:34:10","mono","learning",7,"p","u","mono","chup",1,"chubni",1,,"false",1974,"Caribbean / British",,"none","true","Female","FALSE","p","mono",,,0,"mono","FALSE","FALSE","ʧup"
"98","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:34:27","mono","learning",8,"p","u","mono","nup",1,"nubni",1,"nubni","true",1974,"Caribbean / British",,"none","true","Female","TRUE","p","mono","b","p",1,"mono","TRUE","FALSE","nup"
"99","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:34:41","mono","learning",9,"k","a","mono","strak",1,"stragni",1,"stragni","true",1974,"Caribbean / British",,"none","true","Female","TRUE","k","mono","g","k",1,"mono","TRUE","FALSE","strak"
"100","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:34:54","mono","learning",10,"k","x","mono","shaik",1,"shaigni",1,"shaigni","true",1974,"Caribbean / British",,"none","true","Female","TRUE","k","mono","g","k",1,"mono","TRUE","FALSE","ʃaɪk"
"101","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:35:07","mono","learning",11,"l","x","iamb","g-tail",1,"g-tailni",1,"g-tailni","true",1974,"Caribbean / British",,"none","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","ɡətaɪl"
"102","larvedi","482","IFQ481","2011-03-25 23:31:50","2011-03-25 23:35:18","mono","learning",12,"ng","e","mono","steng",1,"stengni",1,"steŋni","true",1974,"Caribbean / British",,"none","true","Female","TRUE","W","mono","W","W",0,"mono","TRUE","FALSE","steŋ"
