"","id","participant","IP","V4","field","meta","time"
"31","112","PJN112W","75.178.85.122","meta","place","USA","Sat Sep 18 11:51:46 2010"
"32","112","PJN112W","75.178.85.122","meta","soundlike","Virginia","Sat Sep 18 11:51:46 2010"
"33","112","PJN112W","75.178.85.122","meta","year","1989","Sat Sep 18 11:51:46 2010"
"34","112","PJN112W","75.178.85.122","meta","sex","female","Sat Sep 18 11:51:46 2010"
"35","112","PJN112W","75.178.85.122","meta","lang","None","Sat Sep 18 11:51:46 2010"
"36","112","PJN112W","75.178.85.122","meta","sugg","","Sat Sep 18 11:51:46 2010"
"37","114","PPC114D","75.119.11.49","meta","place","USA","Sat Sep 18 12:17:58 2010"
"38","114","PPC114D","75.119.11.49","meta","soundlike","Suburbs","Sat Sep 18 12:17:58 2010"
"39","114","PPC114D","75.119.11.49","meta","year","1986","Sat Sep 18 12:17:58 2010"
"40","114","PPC114D","75.119.11.49","meta","sex","female","Sat Sep 18 12:17:58 2010"
"41","114","PPC114D","75.119.11.49","meta","lang","none","Sat Sep 18 12:17:58 2010"
"42","114","PPC114D","75.119.11.49","meta","sugg","","Sat Sep 18 12:17:58 2010"
"43","115","POX115N","76.124.108.136","meta","place","USA","Sat Sep 18 12:28:18 2010"
"44","115","POX115N","76.124.108.136","meta","soundlike","Oregon","Sat Sep 18 12:28:18 2010"
"45","115","POX115N","76.124.108.136","meta","year","1982","Sat Sep 18 12:28:18 2010"
"46","115","POX115N","76.124.108.136","meta","sex","male","Sat Sep 18 12:28:18 2010"
"47","115","POX115N","76.124.108.136","meta","lang","Spanish","Sat Sep 18 12:28:18 2010"
"48","115","POX115N","76.124.108.136","meta","sugg","","Sat Sep 18 12:28:18 2010"
"49","116","PPX116N","68.57.82.211","meta","place","none","Sat Sep 18 12:42:08 2010"
"50","116","PPX116N","68.57.82.211","meta","soundlike","","Sat Sep 18 12:42:08 2010"
"51","116","PPX116N","68.57.82.211","meta","year","","Sat Sep 18 12:42:08 2010"
"52","116","PPX116N","68.57.82.211","meta","sex","female","Sat Sep 18 12:42:08 2010"
"53","116","PPX116N","68.57.82.211","meta","lang","none","Sat Sep 18 12:42:08 2010"
"54","116","PPX116N","68.57.82.211","meta","sugg","","Sat Sep 18 12:42:08 2010"
"55","118","PKM118R","72.15.125.167","meta","place","USA","Sat Sep 18 13:08:02 2010"
"56","118","PKM118R","72.15.125.167","meta","soundlike","Massachusetts","Sat Sep 18 13:08:02 2010"
"57","118","PKM118R","72.15.125.167","meta","year","","Sat Sep 18 13:08:02 2010"
"58","118","PKM118R","72.15.125.167","meta","sex","female","Sat Sep 18 13:08:02 2010"
"59","118","PKM118R","72.15.125.167","meta","lang","none","Sat Sep 18 13:08:02 2010"
"60","118","PKM118R","72.15.125.167","meta","sugg","","Sat Sep 18 13:08:02 2010"
"61","120","PLG120U","72.207.126.222","meta","place","USA","Sat Sep 18 13:47:30 2010"
"62","120","PLG120U","72.207.126.222","meta","soundlike","california","Sat Sep 18 13:47:30 2010"
"63","120","PLG120U","72.207.126.222","meta","year","","Sat Sep 18 13:47:30 2010"
"64","120","PLG120U","72.207.126.222","meta","sex","female","Sat Sep 18 13:47:30 2010"
"65","120","PLG120U","72.207.126.222","meta","lang","none","Sat Sep 18 13:47:30 2010"
"66","120","PLG120U","72.207.126.222","meta","sugg","","Sat Sep 18 13:47:30 2010"
"67","121","PPF121I","76.17.239.141","meta","place","USA","Sat Sep 18 14:21:31 2010"
"68","121","PPF121I","76.17.239.141","meta","soundlike","Midwest - Minnesota","Sat Sep 18 14:21:31 2010"
"69","121","PPF121I","76.17.239.141","meta","year","1973","Sat Sep 18 14:21:31 2010"
"70","121","PPF121I","76.17.239.141","meta","sex","female","Sat Sep 18 14:21:31 2010"
"71","121","PPF121I","76.17.239.141","meta","lang","none","Sat Sep 18 14:21:31 2010"
"72","121","PPF121I","76.17.239.141","meta","sugg","","Sat Sep 18 14:21:31 2010"
"73","123","PGK123B","76.182.67.208","meta","place","Canada","Sat Sep 18 14:32:29 2010"
"74","123","PGK123B","76.182.67.208","meta","soundlike","I have a very neutral, but tend to sound northern.","Sat Sep 18 14:32:29 2010"
"75","123","PGK123B","76.182.67.208","meta","year","1988","Sat Sep 18 14:32:29 2010"
"76","123","PGK123B","76.182.67.208","meta","sex","male","Sat Sep 18 14:32:29 2010"
"77","123","PGK123B","76.182.67.208","meta","lang","None, a bit of French","Sat Sep 18 14:32:29 2010"
"78","123","PGK123B","76.182.67.208","meta","sugg","I was born in Canada but now live in North Carolina and have since 2002.         I am interested in the results of this testing alongside others.","Sat Sep 18 14:32:29 2010"
"79","124","PGZ124P","68.206.18.15","meta","place","none","Sat Sep 18 14:39:27 2010"
"80","124","PGZ124P","68.206.18.15","meta","soundlike","midwest","Sat Sep 18 14:39:27 2010"
"81","124","PGZ124P","68.206.18.15","meta","year","","Sat Sep 18 14:39:27 2010"
"82","124","PGZ124P","68.206.18.15","meta","sex","female","Sat Sep 18 14:39:27 2010"
"83","124","PGZ124P","68.206.18.15","meta","lang","none","Sat Sep 18 14:39:27 2010"
"84","124","PGZ124P","68.206.18.15","meta","sugg","","Sat Sep 18 14:39:27 2010"
"85","126","PLM126W","96.236.238.159","meta","place","USA","Sat Sep 18 15:21:35 2010"
"86","126","PLM126W","96.236.238.159","meta","soundlike","Pittsburgh","Sat Sep 18 15:21:35 2010"
"87","126","PLM126W","96.236.238.159","meta","year","","Sat Sep 18 15:21:35 2010"
"88","126","PLM126W","96.236.238.159","meta","sex","female","Sat Sep 18 15:21:35 2010"
"89","126","PLM126W","96.236.238.159","meta","lang","None","Sat Sep 18 15:21:35 2010"
"90","126","PLM126W","96.236.238.159","meta","sugg","As you probably know, our dialect in Pittsburgh includes yoonz sounding like the vowels in look . . .!",""
"92","127","PLP127P","71.235.34.182","meta","place","USA","Sat Sep 18 15:02:07 2010"
"93","127","PLP127P","71.235.34.182","meta","soundlike","West Virginia","Sat Sep 18 15:02:07 2010"
"94","127","PLP127P","71.235.34.182","meta","year","1986","Sat Sep 18 15:02:07 2010"
"95","127","PLP127P","71.235.34.182","meta","sex","female","Sat Sep 18 15:02:07 2010"
"96","127","PLP127P","71.235.34.182","meta","lang","Spanish","Sat Sep 18 15:02:07 2010"
"97","127","PLP127P","71.235.34.182","meta","sugg","It would be nice to know the result of this study.","Sat Sep 18 15:02:07 2010"
"98","130","PZL130F","70.188.51.145","meta","place","USA","Sat Sep 18 15:19:25 2010"
"99","130","PZL130F","70.188.51.145","meta","soundlike","Northern U.S.","Sat Sep 18 15:19:25 2010"
"100","130","PZL130F","70.188.51.145","meta","year","1983","Sat Sep 18 15:19:25 2010"
"101","130","PZL130F","70.188.51.145","meta","sex","male","Sat Sep 18 15:19:25 2010"
"102","130","PZL130F","70.188.51.145","meta","lang","","Sat Sep 18 15:19:25 2010"
"103","130","PZL130F","70.188.51.145","meta","sugg","","Sat Sep 18 15:19:25 2010"
"104","132","PHZ132Z","216.155.116.30","meta","place","USA","Sat Sep 18 15:25:44 2010"
"105","132","PHZ132Z","216.155.116.30","meta","soundlike","Florida","Sat Sep 18 15:25:44 2010"
"106","132","PHZ132Z","216.155.116.30","meta","year","1991","Sat Sep 18 15:25:44 2010"
"107","132","PHZ132Z","216.155.116.30","meta","sex","female","Sat Sep 18 15:25:44 2010"
"108","132","PHZ132Z","216.155.116.30","meta","lang","none","Sat Sep 18 15:25:44 2010"
"109","132","PHZ132Z","216.155.116.30","meta","sugg","","Sat Sep 18 15:25:44 2010"
"110","134","PBE134L","69.134.58.116","meta","place","USA","Sat Sep 18 16:14:49 2010"
"111","134","PBE134L","69.134.58.116","meta","soundlike","newyork","Sat Sep 18 16:14:49 2010"
"112","134","PBE134L","69.134.58.116","meta","year","1983","Sat Sep 18 16:14:49 2010"
"113","134","PBE134L","69.134.58.116","meta","sex","male","Sat Sep 18 16:14:49 2010"
"114","134","PBE134L","69.134.58.116","meta","lang","na","Sat Sep 18 16:14:49 2010"
"115","134","PBE134L","69.134.58.116","meta","sugg","","Sat Sep 18 16:14:49 2010"
"116","135","PAC135A","71.114.24.27","meta","place","USA","Sat Sep 18 16:50:44 2010"
"117","135","PAC135A","71.114.24.27","meta","soundlike","Virginia","Sat Sep 18 16:50:44 2010"
"118","135","PAC135A","71.114.24.27","meta","year","1990","Sat Sep 18 16:50:44 2010"
"119","135","PAC135A","71.114.24.27","meta","sex","female","Sat Sep 18 16:50:44 2010"
"120","135","PAC135A","71.114.24.27","meta","lang","None fleuently.","Sat Sep 18 16:50:44 2010"
"121","135","PAC135A","71.114.24.27","meta","sugg","I like this survey.  It's interesting.","Sat Sep 18 16:50:44 2010"
"122","137","PEM137S","205.219.133.1","meta","place","USA","Sat Sep 18 17:39:58 2010"
"123","137","PEM137S","205.219.133.1","meta","soundlike","California","Sat Sep 18 17:39:58 2010"
"124","137","PEM137S","205.219.133.1","meta","year","1991","Sat Sep 18 17:39:58 2010"
"125","137","PEM137S","205.219.133.1","meta","sex","male","Sat Sep 18 17:39:58 2010"
"126","137","PEM137S","205.219.133.1","meta","lang","None","Sat Sep 18 17:39:58 2010"
"127","137","PEM137S","205.219.133.1","meta","sugg","","Sat Sep 18 17:39:58 2010"
"128","141","PSS141V","68.103.50.222","meta","place","USA","Sat Sep 18 18:17:01 2010"
"129","141","PSS141V","68.103.50.222","meta","soundlike","Kansas","Sat Sep 18 18:17:01 2010"
"130","141","PSS141V","68.103.50.222","meta","year","","Sat Sep 18 18:17:01 2010"
"131","141","PSS141V","68.103.50.222","meta","sex","female","Sat Sep 18 18:17:01 2010"
"132","141","PSS141V","68.103.50.222","meta","lang","none","Sat Sep 18 18:17:01 2010"
"133","141","PSS141V","68.103.50.222","meta","sugg","","Sat Sep 18 18:17:01 2010"
"134","142","PCR142J","199.111.187.130","meta","place","USA","Sat Sep 18 18:09:32 2010"
"135","142","PCR142J","199.111.187.130","meta","soundlike","I've never received any comments about that. American is the furthest that people go, usually...","Sat Sep 18 18:09:32 2010"
"136","142","PCR142J","199.111.187.130","meta","year","1990","Sat Sep 18 18:09:32 2010"
"137","142","PCR142J","199.111.187.130","meta","sex","female","Sat Sep 18 18:09:32 2010"
"138","142","PCR142J","199.111.187.130","meta","lang","Mandarin, Spanish","Sat Sep 18 18:09:32 2010"
"139","142","PCR142J","199.111.187.130","meta","sugg","","Sat Sep 18 18:09:32 2010"
"140","144","PYB144E","97.82.40.184","meta","place","none","Sat Sep 18 19:26:04 2010"
"141","144","PYB144E","97.82.40.184","meta","soundlike","alabama","Sat Sep 18 19:26:04 2010"
"142","144","PYB144E","97.82.40.184","meta","year","1981","Sat Sep 18 19:26:04 2010"
"143","144","PYB144E","97.82.40.184","meta","sex","male","Sat Sep 18 19:26:04 2010"
"144","144","PYB144E","97.82.40.184","meta","lang","none","Sat Sep 18 19:26:04 2010"
"145","144","PYB144E","97.82.40.184","meta","sugg","","Sat Sep 18 19:26:04 2010"
"146","145","PUP145I","74.71.58.171","meta","place","USA","Sat Sep 18 19:38:51 2010"
"147","145","PUP145I","74.71.58.171","meta","soundlike","new york","Sat Sep 18 19:38:51 2010"
"148","145","PUP145I","74.71.58.171","meta","year","1988","Sat Sep 18 19:38:51 2010"
"149","145","PUP145I","74.71.58.171","meta","sex","male","Sat Sep 18 19:38:51 2010"
"150","145","PUP145I","74.71.58.171","meta","lang","none","Sat Sep 18 19:38:51 2010"
"151","145","PUP145I","74.71.58.171","meta","sugg","","Sat Sep 18 19:38:51 2010"
"152","146","PUB146R","70.129.130.228","meta","place","USA","Sat Sep 18 20:31:58 2010"
"153","146","PUB146R","70.129.130.228","meta","soundlike","Texas","Sat Sep 18 20:31:58 2010"
"154","146","PUB146R","70.129.130.228","meta","year","1975","Sat Sep 18 20:31:58 2010"
"155","146","PUB146R","70.129.130.228","meta","sex","female","Sat Sep 18 20:31:58 2010"
"156","146","PUB146R","70.129.130.228","meta","lang","None","Sat Sep 18 20:31:58 2010"
"157","146","PUB146R","70.129.130.228","meta","sugg","","Sat Sep 18 20:31:58 2010"
"164","149","PMJ149K","24.1.37.52","meta","place","USA","Sat Sep 18 21:02:42 2010"
"165","149","PMJ149K","24.1.37.52","meta","soundlike","Midwest","Sat Sep 18 21:02:42 2010"
"166","149","PMJ149K","24.1.37.52","meta","year","1960","Sat Sep 18 21:02:42 2010"
"167","149","PMJ149K","24.1.37.52","meta","sex","female","Sat Sep 18 21:02:42 2010"
"168","149","PMJ149K","24.1.37.52","meta","lang","none","Sat Sep 18 21:02:42 2010"
"169","149","PMJ149K","24.1.37.52","meta","sugg","","Sat Sep 18 21:02:42 2010"
"170","151","PCC151S","67.174.198.191","meta","place","USA","Sat Sep 18 20:58:53 2010"
"171","151","PCC151S","67.174.198.191","meta","soundlike","California","Sat Sep 18 20:58:53 2010"
"172","151","PCC151S","67.174.198.191","meta","year","1956","Sat Sep 18 20:58:53 2010"
"173","151","PCC151S","67.174.198.191","meta","sex","male","Sat Sep 18 20:58:53 2010"
"174","151","PCC151S","67.174.198.191","meta","lang","Spanish/French","Sat Sep 18 20:58:53 2010"
"175","151","PCC151S","67.174.198.191","meta","sugg","","Sat Sep 18 20:58:53 2010"
"176","152","PVD152O","71.192.27.24","meta","place","USA","Sat Sep 18 20:59:33 2010"
"177","152","PVD152O","71.192.27.24","meta","soundlike","new york","Sat Sep 18 20:59:33 2010"
"178","152","PVD152O","71.192.27.24","meta","year","1952","Sat Sep 18 20:59:33 2010"
"179","152","PVD152O","71.192.27.24","meta","sex","female","Sat Sep 18 20:59:33 2010"
"180","152","PVD152O","71.192.27.24","meta","lang","spanish","Sat Sep 18 20:59:33 2010"
"181","152","PVD152O","71.192.27.24","meta","sugg","","Sat Sep 18 20:59:33 2010"
"182","153","PKI153E","74.190.250.29","meta","place","USA","Sat Sep 18 21:48:51 2010"
"183","153","PKI153E","74.190.250.29","meta","soundlike","Atlanta","Sat Sep 18 21:48:51 2010"
"184","153","PKI153E","74.190.250.29","meta","year","1987","Sat Sep 18 21:48:51 2010"
"185","153","PKI153E","74.190.250.29","meta","sex","male","Sat Sep 18 21:48:51 2010"
"186","153","PKI153E","74.190.250.29","meta","lang","none","Sat Sep 18 21:48:51 2010"
"187","153","PKI153E","74.190.250.29","meta","sugg","","Sat Sep 18 21:48:51 2010"
"188","158","PAL158Z","173.85.193.125","meta","place","USA","Sat Sep 18 22:01:34 2010"
"189","158","PAL158Z","173.85.193.125","meta","soundlike","California","Sat Sep 18 22:01:34 2010"
"190","158","PAL158Z","173.85.193.125","meta","year","1983","Sat Sep 18 22:01:34 2010"
"191","158","PAL158Z","173.85.193.125","meta","sex","male","Sat Sep 18 22:01:34 2010"
"192","158","PAL158Z","173.85.193.125","meta","lang","Spanish","Sat Sep 18 22:01:34 2010"
"193","158","PAL158Z","173.85.193.125","meta","sugg","","Sat Sep 18 22:01:34 2010"
"194","159","PVF159Z","71.79.238.221","meta","place","USA","Sat Sep 18 22:58:55 2010"
"195","159","PVF159Z","71.79.238.221","meta","soundlike","Midwest ","Sat Sep 18 22:58:55 2010"
"196","159","PVF159Z","71.79.238.221","meta","year","1984","Sat Sep 18 22:58:55 2010"
"197","159","PVF159Z","71.79.238.221","meta","sex","female","Sat Sep 18 22:58:55 2010"
"198","159","PVF159Z","71.79.238.221","meta","lang","only a little Spanish and French","Sat Sep 18 22:58:55 2010"
"199","159","PVF159Z","71.79.238.221","meta","sugg","That was fun!  Thank you and good luck!","Sat Sep 18 22:58:55 2010"
"200","160","PPP160Y","24.5.30.46","meta","place","USA","Sat Sep 18 23:08:28 2010"
"201","160","PPP160Y","24.5.30.46","meta","soundlike","California","Sat Sep 18 23:08:28 2010"
"202","160","PPP160Y","24.5.30.46","meta","year","1992","Sat Sep 18 23:08:28 2010"
"203","160","PPP160Y","24.5.30.46","meta","sex","female","Sat Sep 18 23:08:28 2010"
"204","160","PPP160Y","24.5.30.46","meta","lang","French","Sat Sep 18 23:08:28 2010"
"205","160","PPP160Y","24.5.30.46","meta","sugg","","Sat Sep 18 23:08:28 2010"
"206","162","PGT162O","68.1.184.149","meta","place","USA","Sat Sep 18 23:56:32 2010"
"207","162","PGT162O","68.1.184.149","meta","soundlike","Northeast","Sat Sep 18 23:56:32 2010"
"208","162","PGT162O","68.1.184.149","meta","year","","Sat Sep 18 23:56:32 2010"
"209","162","PGT162O","68.1.184.149","meta","sex","female","Sat Sep 18 23:56:32 2010"
"210","162","PGT162O","68.1.184.149","meta","lang","none","Sat Sep 18 23:56:32 2010"
"211","162","PGT162O","68.1.184.149","meta","sugg","","Sat Sep 18 23:56:32 2010"
"212","164","PDS164G","98.114.189.94","meta","place","USA","Sun Sep 19 00:07:21 2010"
"213","164","PDS164G","98.114.189.94","meta","soundlike","East coast - New York, Philly","Sun Sep 19 00:07:21 2010"
"214","164","PDS164G","98.114.189.94","meta","year","","Sun Sep 19 00:07:21 2010"
"215","164","PDS164G","98.114.189.94","meta","sex","female","Sun Sep 19 00:07:21 2010"
"216","164","PDS164G","98.114.189.94","meta","lang","a little French","Sun Sep 19 00:07:21 2010"
"217","164","PDS164G","98.114.189.94","meta","sugg","Very interesting task, thoughtfully executed.","Sun Sep 19 00:07:21 2010"
"218","165","PXM165J","75.100.86.96","meta","place","USA","Sun Sep 19 00:08:28 2010"
"219","165","PXM165J","75.100.86.96","meta","soundlike","midwest","Sun Sep 19 00:08:28 2010"
"220","165","PXM165J","75.100.86.96","meta","year","1958","Sun Sep 19 00:08:28 2010"
"221","165","PXM165J","75.100.86.96","meta","sex","female","Sun Sep 19 00:08:28 2010"
"222","165","PXM165J","75.100.86.96","meta","lang","none","Sun Sep 19 00:08:28 2010"
"223","165","PXM165J","75.100.86.96","meta","sugg","","Sun Sep 19 00:08:28 2010"
"224","168","PCK168X","68.83.22.148","meta","place","USA","Sun Sep 19 00:47:42 2010"
"225","168","PCK168X","68.83.22.148","meta","soundlike","New York","Sun Sep 19 00:47:42 2010"
"226","168","PCK168X","68.83.22.148","meta","year","1976","Sun Sep 19 00:47:42 2010"
"227","168","PCK168X","68.83.22.148","meta","sex","male","Sun Sep 19 00:47:42 2010"
"228","168","PCK168X","68.83.22.148","meta","lang","None","Sun Sep 19 00:47:42 2010"
"229","168","PCK168X","68.83.22.148","meta","sugg","","Sun Sep 19 00:47:42 2010"
"230","169","PPL169Z","97.102.227.184","meta","place","none","Sun Sep 19 00:57:21 2010"
"231","169","PPL169Z","97.102.227.184","meta","soundlike","all the time, only fluent language, people think i am from up north time to time","Sun Sep 19 00:57:21 2010"
"232","169","PPL169Z","97.102.227.184","meta","year","","Sun Sep 19 00:57:21 2010"
"233","169","PPL169Z","97.102.227.184","meta","sex","female","Sun Sep 19 00:57:21 2010"
"234","169","PPL169Z","97.102.227.184","meta","lang","tiny bit of spanish","Sun Sep 19 00:57:21 2010"
"235","169","PPL169Z","97.102.227.184","meta","sugg","","Sun Sep 19 00:57:21 2010"
"236","175","PFW175H","66.181.225.102","meta","place","none","Sun Sep 19 01:30:52 2010"
"237","175","PFW175H","66.181.225.102","meta","soundlike","New Hampshire","Sun Sep 19 01:30:52 2010"
"238","175","PFW175H","66.181.225.102","meta","year","","Sun Sep 19 01:30:52 2010"
"239","175","PFW175H","66.181.225.102","meta","sex","female","Sun Sep 19 01:30:52 2010"
"240","175","PFW175H","66.181.225.102","meta","lang","Chinese, Cambodian, Spanish","Sun Sep 19 01:30:52 2010"
"241","175","PFW175H","66.181.225.102","meta","sugg","","Sun Sep 19 01:30:52 2010"
"242","176","PJK176Y","190.213.89.125","meta","place","USA","Sun Sep 19 01:44:22 2010"
"243","176","PJK176Y","190.213.89.125","meta","soundlike","new jersey","Sun Sep 19 01:44:22 2010"
"244","176","PJK176Y","190.213.89.125","meta","year","1982","Sun Sep 19 01:44:22 2010"
"245","176","PJK176Y","190.213.89.125","meta","sex","female","Sun Sep 19 01:44:22 2010"
"246","176","PJK176Y","190.213.89.125","meta","lang","none","Sun Sep 19 01:44:22 2010"
"247","176","PJK176Y","190.213.89.125","meta","sugg","very interesting survey!","Sun Sep 19 01:44:22 2010"
"248","182","PDY182O","98.201.110.202","meta","place","USA","Sun Sep 19 04:49:58 2010"
"249","182","PDY182O","98.201.110.202","meta","soundlike","Texas","Sun Sep 19 04:49:58 2010"
"250","182","PDY182O","98.201.110.202","meta","year","","Sun Sep 19 04:49:58 2010"
"251","182","PDY182O","98.201.110.202","meta","sex","none","Sun Sep 19 04:49:58 2010"
"252","182","PDY182O","98.201.110.202","meta","lang","N/A","Sun Sep 19 04:49:58 2010"
"253","182","PDY182O","98.201.110.202","meta","sugg","","Sun Sep 19 04:49:58 2010"
"254","184","PSX184C","108.6.7.125","meta","place","none","Sun Sep 19 16:57:47 2010"
"255","184","PSX184C","108.6.7.125","meta","soundlike","New york","Sun Sep 19 16:57:47 2010"
"256","184","PSX184C","108.6.7.125","meta","year","1982","Sun Sep 19 16:57:47 2010"
"257","184","PSX184C","108.6.7.125","meta","sex","female","Sun Sep 19 16:57:47 2010"
"258","184","PSX184C","108.6.7.125","meta","lang","none","Sun Sep 19 16:57:47 2010"
"259","184","PSX184C","108.6.7.125","meta","sugg","","Sun Sep 19 16:57:47 2010"
"260","185","PNN185N","70.123.99.135","meta","place","USA","Sun Sep 19 20:21:31 2010"
"261","185","PNN185N","70.123.99.135","meta","soundlike","Texas","Sun Sep 19 20:21:31 2010"
"262","185","PNN185N","70.123.99.135","meta","year","","Sun Sep 19 20:21:31 2010"
"263","185","PNN185N","70.123.99.135","meta","sex","female","Sun Sep 19 20:21:31 2010"
"264","185","PNN185N","70.123.99.135","meta","lang","None","Sun Sep 19 20:21:31 2010"
"265","185","PNN185N","70.123.99.135","meta","sugg","","Sun Sep 19 20:21:31 2010"
"266","187","PLM187H","67.108.233.162","meta","place","none","Sun Sep 19 20:22:33 2010"
"267","187","PLM187H","67.108.233.162","meta","soundlike","Midwest","Sun Sep 19 20:22:33 2010"
"268","187","PLM187H","67.108.233.162","meta","year","","Sun Sep 19 20:22:33 2010"
"269","187","PLM187H","67.108.233.162","meta","sex","male","Sun Sep 19 20:22:33 2010"
"270","187","PLM187H","67.108.233.162","meta","lang","Some Russian, Some Dari","Sun Sep 19 20:22:33 2010"
"271","187","PLM187H","67.108.233.162","meta","sugg","","Sun Sep 19 20:22:33 2010"
"278","189","PUM189A","69.242.1.51","meta","place","none","Sun Sep 19 22:21:17 2010"
"279","189","PUM189A","69.242.1.51","meta","soundlike","jersey","Sun Sep 19 22:21:17 2010"
"280","189","PUM189A","69.242.1.51","meta","year","","Sun Sep 19 22:21:17 2010"
"281","189","PUM189A","69.242.1.51","meta","sex","female","Sun Sep 19 22:21:17 2010"
"282","189","PUM189A","69.242.1.51","meta","lang","none","Sun Sep 19 22:21:17 2010"
"283","189","PUM189A","69.242.1.51","meta","sugg","this was an interesting task... it was a little hard to differentiate some of the sounds","Sun Sep 19 22:21:17 2010"
"284","190","PUI190A","174.71.44.185","meta","place","none","Sun Sep 19 23:23:02 2010"
"285","190","PUI190A","174.71.44.185","meta","soundlike","","Sun Sep 19 23:23:02 2010"
"286","190","PUI190A","174.71.44.185","meta","year","none","Sun Sep 19 23:23:02 2010"
"287","190","PUI190A","174.71.44.185","meta","sex","none","Sun Sep 19 23:23:02 2010"
"288","190","PUI190A","174.71.44.185","meta","lang","none","Sun Sep 19 23:23:02 2010"
"289","190","PUI190A","174.71.44.185","meta","sugg","","Sun Sep 19 23:23:02 2010"
"290","191","PSJ191V","184.99.129.77","meta","place","USA","Sun Sep 19 23:46:36 2010"
"291","191","PSJ191V","184.99.129.77","meta","soundlike","Midwest","Sun Sep 19 23:46:36 2010"
"292","191","PSJ191V","184.99.129.77","meta","year","","Sun Sep 19 23:46:36 2010"
"293","191","PSJ191V","184.99.129.77","meta","sex","female","Sun Sep 19 23:46:36 2010"
"294","191","PSJ191V","184.99.129.77","meta","lang","none","Sun Sep 19 23:46:36 2010"
"295","191","PSJ191V","184.99.129.77","meta","sugg","","Sun Sep 19 23:46:36 2010"
"296","192","PPA192E","96.229.70.253","meta","place","USA","Sun Sep 19 23:48:27 2010"
"297","192","PPA192E","96.229.70.253","meta","soundlike","Calfironia","Sun Sep 19 23:48:27 2010"
"298","192","PPA192E","96.229.70.253","meta","year","1986","Sun Sep 19 23:48:27 2010"
"299","192","PPA192E","96.229.70.253","meta","sex","male","Sun Sep 19 23:48:27 2010"
"300","192","PPA192E","96.229.70.253","meta","lang","","Sun Sep 19 23:48:27 2010"
"301","192","PPA192E","96.229.70.253","meta","sugg","","Sun Sep 19 23:48:27 2010"
"302","197","PFK197O","221.230.131.226","meta","place","none","Mon Sep 20 01:31:33 2010"
"303","197","PFK197O","221.230.131.226","meta","soundlike","South","Mon Sep 20 01:31:33 2010"
"304","197","PFK197O","221.230.131.226","meta","year","","Mon Sep 20 01:31:33 2010"
